ward_no,station_name,lat,lon
1,Narela,28.85777778,77.08972222
2,Bankner,28.84555556,77.07305556
3,Holambi Kalan,28.81,77.09833333
4,Alipur,28.79972222,77.13416667
5,Bakhtawarpur,28.82444444,77.1725
6,Burari,28.76,77.195
7,Kadipur,28.77555556,77.1625
8,Mukundpur,28.74194444,77.18277778
9,Sant Nagar,28.55444444,77.25111111
10,Jharoda,28.65777778,76.95111111
11,Timarpur,28.7025,77.22083333
12,Malkaganj,28.67694444,77.20861111
13,Mukherjee Nagar,28.71166667,77.21444444
14,Dhirpur,28.71583333,77.20333333
15,Adarsh Nagar,28.72,77.17361111
16,Azadpur,28.71694444,77.17694444
17,Bhalswa,28.75888889,77.16
18,Jahangirpuri,28.73222222,77.16666667
19,Sarup Nagar,28.76,77.15583333
20,Samaypur Badli,28.74944444,77.14388889
21,Rohini A,28.745,77.08222222
22,Rohini B,28.7425,77.09416667
23,Rithala,28.71972222,77.10055556
24,Vijay Vihar,28.71472222,77.09805556
25,Budh Vihar,28.71611111,77.08777778
26,Pooth Kalan,28.71138889,77.07861111
27,Begumpur,28.72583333,77.06083333
28,Shahbaad Dairy,28.74305556,77.10305556
29,Pooth Khurd,28.77361111,77.04972222
30,Bawana,28.79611111,77.04805556
31,Nangal Thakran,28.81,77.00722222
32,Kanjhawala,28.74083333,77.00833333
33,Rani Khera,28.70527778,77.01333333
34,Nangloi,28.68472222,77.06805556
35,Mundka,28.68638889,77.03555556
36,Nilothi,28.65472222,77.06277778
37,Kirari,28.69694444,77.06416667
38,Prem Nagar,28.69361111,77.05277778
39,Mubarikpur,28.71166667,77.03277778
40,Nithari,28.70666667,77.05555556
41,Aman Vihar,28.70361111,77.07138889
42,Mangol Puri,28.69388889,77.09166667
43,Sultanpuri A,28.49277778,77.16138889
44,Sultanpuri B,28.49277778,77.16138889
45,Jawalapuri,28.67888889,77.07861111
46,Nanagloi Jat,28.68555556,77.06805556
47,Nihal Vihar,28.66416667,77.07222222
48,Guru Harkishan Nagar,28.6725,77.08361111
49,Mangol Puri A,28.69361111,77.09166667
50,Mongol Puri B,28.69083333,77.09444444
51,Rohini C,28.72833333,77.06027778
52,Rohini F,28.70888889,77.13333333
53,Rohini E,28.71722222,77.07166667
54,Rohini D,28.74277778,77.09611111
55,Shalimar Bagh A,28.7175,77.15583333
56,Shalimar Bagh B,28.71833333,77.1575
57,Pitampura,28.70194444,77.13888889
58,Saraswati Vihar,28.6975,77.125
59,Pachim Vihar,28.67166667,77.09277778
60,Rani Bagh,28.68861111,77.13388889
61,Kohat Enclave,28.69694444,77.13861111
62,Shakurpur,28.68722222,77.14277778
63,Trinagar,28.68361111,77.15472222
64,Keshav Puram,28.69027778,77.1575
65,Ashok Vihar,28.69611111,77.17611111
66,Wazirpur,28.69888889,77.16
67,Sangam Park,28.69027778,77.18888889
68,Model Town,28.71416667,77.18944444
69,Kamla Nagar,28.68166667,77.20472222
70,Shastri Nagar,28.67694444,77.18055556
71,Kishan Ganj,28.66083333,77.19861111
72,Sadar Bazar,28.66027778,77.2125
73,Civil Lines,28.68416667,77.22277778
74,Chandni Chowk,28.65166667,77.23027778
75,Jama Masjid,28.65083333,77.23333333
76,Chandni Mahal,28.64305556,77.23722222
77,Delhi Gate,28.64138889,77.24055556
78,Bazar Sitaram,28.64611111,77.23111111
79,Ballimaran,28.65583333,77.22555556
80,Ramnagar,28.68111111,77.29555556
81,Quraish Nagar,28.65527778,77.20888889
82,Pahar Ganj,28.6475,77.21305556
83,Karol Bagh,28.65722222,77.18861111
84,Dev Nagar,28.65722222,77.18527778
85,West Patel Nagar,28.65277778,77.16444444
86,Easr Patel Nagar,28.6475,77.17194444
87,Ranjeet Nagar,28.64805556,77.15777778
88,Baljeet Nagar,28.65805556,77.16111111
89,Karam Pura,28.49944444,77.1525
90,Moti Nagar,28.49305556,77.14388889
91,Ramesh Nagar,28.65111111,77.13277778
92,Punjabi Bagh,28.66222222,77.12416667
93,Madipur,28.67222222,77.12027778
94,Raghubir Nagar,28.65777778,77.11166667
95,Vishnu Garden,28.65333333,77.09444444
96,Rajouri Garden,28.64194444,77.1225
97,Chaukhandi Nagar,28.6475,77.09222222
98,Shubhash Nagar,28.63583333,77.1175
99,Hari Nagar,28.62555556,77.11083333
100,Fateh Nagar,28.63055556,77.10055556
101,Tilak Nagar,28.64,77.08666667
102,Khyla,28.65722222,77.09777778
103,Keshopur,28.65277778,77.08083333
104,Janak Puri South,28.62472222,77.08805556
105,Mahavir Enclave,28.60055556,77.08138889
106,Janak Puri West ,28.62583333,77.08777778
107,Vikas Puri,28.64138889,77.07111111
108,Hastsal,28.63222222,77.05722222
109,Vikas Nagar,28.63972222,77.02861111
110,Kunwar Singh Nagar ,28.6675,77.04861111
111,Baprola,28.64388889,77.01027778
112,Sainik Enclave,28.61416667,77.00472222
113,Mohan Garden,28.62111111,77.04027778
114,Nawada,28.62611111,77.03611111
115,Uttam Nagar,28.62111111,77.05472222
116,Binda Pur,28.61111111,77.06861111
117,Babri,28.65722222,77.22305556
118,Sagarpur,28.60138889,77.10277778
119,Manglapuri,28.60194444,77.0925
120,Dwarka B,28.57833333,77.04722222
121,Dwarka A,28.59666667,77.04083333
122,Matiala,28.61,77.05055556
123,Kakrola,28.60111111,77.02694444
124,Nangli Sakrawati,28.6225,77.00222222
125,chhawala,28.56388889,77.00166667
126,Isapur,28.57777778,76.86527778
127,Najafgarh,28.61361111,76.98416667
128,Dichaon Kalan,28.64416667,76.98527778
129,Roshan Pura,28.60194444,76.97666667
130,Dwarka C,28.56916667,77.07583333
131,Bijwasan,28.53388889,77.05277778
132,Kapashera,28.52666667,77.07972222
133,Mahipalpur,28.54611111,77.1275
134,Raj Nagar,28.58111111,77.0825
135,Palam,28.59111111,77.08888889
136,Madhu Vihar,28.60472222,77.06
137,Mahavir Enclave,28.60083333,77.08194444
138,Sadh Nagar,28.59055556,77.09194444
139,Naraiana,28.635,77.13861111
140,Inder Puri,28.63277778,77.145
141,Rajinder Nagar,28.63861111,77.18222222
142,Dariyaganj,28.64555556,77.24027778
143,Sidhartha Nagar,28.58138889,77.25861111
144,Lajpat Nagar,28.56611111,77.24027778
145,Andrews Ganj,28.56361111,77.22777778
146,Amar Colony,28.56194444,77.2425
147,Kotla Mubarakpur,28.57583333,77.2275
148,Hauz Khas,28.55,77.20333333
149,Malviya Nagar,28.535,77.20916667
150,Green Park,28.55888889,77.20305556
151,Munirka,28.55388889,77.17444444
152,R.K. Puram,28.56777778,77.17694444
153,Vasant Vihar,28.56166667,77.16166667
154,Lado Sarai,28.52666667,77.19666667
155,Mehrauli,28.52194444,77.17888889
156,Vasant Kunj,28.5325,77.14833333
157,Aya Nagar,28.47611111,77.13222222
158,Bhati,28.55,77.18972222
159,Chhatarpur,28.49833333,77.18472222
160,Said Ui Ajaiv,28.51833333,77.20166667
161,Deoli,28.50194444,77.22972222
162,Tigri,28.51166667,77.23972222
163,Sangam Vihar A,28.49305556,77.2325
164,Dakshin Puri,28.52361111,77.23888889
165,Madangir,28.52055556,77.23027778
166,Pushp Vihar,28.525,77.22222222
167,Khanpur,28.50861111,77.23222222
168,Sangam Vihar C,28.50027778,77.23972222
169,Sangam Vihar B,28.49861111,77.22888889
170,Tughlakabad Extension,28.52194444,77.25722222
171,Chitaranjan Park,28.54111111,77.24944444
172,Chirag Delhi,28.53777778,77.22805556
173,Greater Kailash,28.55,77.23861111
174,Sri Nivas Puri,28.56638889,77.25277778
175,Kalka Ji,28.54222222,77.25972222
176,Govind Puri,28.53583333,77.26388889
177,Harkesh Nagar,28.54527778,77.27583333
178,Tughlakabad,28.50611111,77.27833333
179,Pul Pehladpur,28.50027778,77.28972222
180,Badarpur,28.51277778,77.29861111
181,Molarband,28.50555556,77.31166667
182,Meethapur,28.4925,77.32472222
183,Hari Nagar Extension,28.50555556,77.31666667
184,Jaitpur,28.50944444,77.33111111
185,Madanpur Khadar East,28.53333333,77.31111111
186,Madanpur Khadar West,28.52472222,77.3225
187,Sarita Vihar,28.53138889,77.29416667
188,Abul Fazal Enclave,28.55944444,77.29305556
189,Zakir Nagar,28.56916667,77.27861111
190,New Ashok Nagar,28.59388889,77.30472222
191,Mayur Vihar Phase I,28.61111111,77.29277778
192,Trilok Puri,28.61,77.30888889
193,Kondli,28.60666667,77.32777778
194,Gharoli,28.61805556,77.33194444
195,Kalyan Puri,28.61666667,77.31388889
196,Mayur Vihar Phase II,28.61722222,77.30083333
197,Patpar Ganj,28.63583333,77.30444444
198,Vinod Nagar,28.62333333,77.30833333
199,Mandawali,28.62777778,77.29527778
200,Pandav Nagar,28.61833333,77.285
201,Lalita Park,28.63111111,77.27416667
202,Shakarpur,28.62944444,77.27861111
203,Laxmi Nagar,28.62777778,77.27833333
204,Preet Vihar,28.6375,77.2925
205,I.P. Extension,28.63055556,77.31194444
206,Anand Vihar,28.65416667,77.30777778
207,Vishvas Nagar,28.66194444,77.29638889
208,Anarkali,28.64972222,77.1925
209,Jagat Puri,28.64861111,77.29277778
210,Geeta Colony,28.65527778,77.27166667
211,Krishna Nagar,28.65194444,77.28611111
212,Gandhi Nagar,28.66722222,77.27388889
213,Shastri Park,28.76861111,77.18472222
214,Azad Nagar,28.66055556,77.28083333
215,Shahdra,28.69166667,77.2925
216,Jhilmil,28.67166667,77.30666667
217,Dilshad Colony,28.69444444,77.32722222
218,Sundar Nagari,28.695,77.32222222
219,Dilshad Garden,28.68388889,77.31166667
220,Nand Nagari,28.695,77.30944444
221,Ashok Nagar,28.63777778,77.10138889
222,Ram Nagar East,28.67777778,77.29861111
223,Rohtash Nagar,28.67805556,77.28805556
224,Welcome Colony,28.67583333,77.27472222
225,Seelampur,28.66527778,77.27138889
226,Gautam Puri,28.67888889,77.26416667
227,Chauhan Bangar,28.68222222,77.26888889
228,Maujpur,28.69111111,77.27611111
229,Braham Puri,28.68444444,77.26527778
230,Bhajanpura,28.70083333,77.25916667
231,Ghonda,28.69055556,77.26583333
232,Yamuna Vihar,28.70138889,77.27222222
233,Subhash Mohalla,28.69777778,77.26694444
234,Kabir Nagar,28.69222222,77.28222222
235,Gorakh Park,28.68333333,77.28083333
236,Kardam Puri,28.69777778,77.28777778
237,Harsh Vihar,28.70361111,77.31944444
238,Saboli,28.70638889,77.30222222
239,Gokal Puri,28.70333333,77.28277778
240,Joharipur,28.71555556,77.28388889
241,Karawal Nagar East,28.73083333,77.2725
242,Dayalpur,28.72083333,77.27166667
243,Mustafabad,28.71444444,77.27111111
244,Nehru Vihar,28.71055556,77.22027778
245,Brij Puri,28.705,77.2725
246,Sri Ram Colony,28.70527778,77.26527778
247,Sadatput,28.72611111,77.2625
248,Karawal Nagar West,28.72888889,77.26416667
249,Sonia Vihar,28.73583333,77.24833333
250,Sabapur,28.74777778,77.24916667
